Station,Latitude,Longitude,Height
8503300,47.33203443,8.804703585,599.2698348
8503301,47.36708188,8.78477394,594.2020378
8503302,47.38511919,8.750262543,578.1909047
8503303,47.40881688,8.722701098,564.1588031
8503304,47.45283105,8.705567481,516.0657882
8503305,47.42580793,8.686659507,558.1516823
8503306,47.42019211,8.619253605,492.2315558
8503307,47.4385611,8.62619693,502.178932
8503308,47.44860441,8.583788847,494.1952389
8503309,47.44228379,8.570699184,487.223782
8503310,47.43082272,8.558830265,479.2639698
8503311,47.45406359,8.532743016,477.2313524
8503312,47.47020073,8.510602884,477.2126014
8503313,47.48746627,8.503293992,471.1765839
8503314,47.47832602,8.488689415,471.2136219
8503315,47.48241056,8.459420189,476.2318711
8503316,47.48997741,8.446839127,498.225186
8503317,47.49796765,8.411792584,508.239244
8503318,47.50590326,8.381048838,491.2492296
8503319,47.51119462,8.369606248,491.2470931
8503340,47.4299487,8.561767884,474.2632882
8507470,46.30147717,7.908356599,851.7264858
8507471,46.30671491,7.880999691,903.7401796
8507472,46.31209666,7.844343632,982.7626007
8507473,46.32260946,7.764542259,1128.814306
8507474,46.36774085,7.755014653,1267.71029
8507475,46.49552005,7.671262611,1226.470945
8507478,46.58877132,7.651595481,829.2557286
8507480,46.62522405,7.690061207,756.1268066
8507481,46.63792345,7.691138956,742.0938561
8507483,46.68638854,7.680097702,677.9828009
8507492,46.6905009,7.869004967,616.7889933
8507493,46.68262268,7.851440178,613.8258558
8507494,46.65975681,7.814734619,611.9189533
8507495,46.65510427,7.775013053,619.9692539
8503400,47.52393884,8.536185678,475.0534917
8503401,47.54855478,8.524033195,457.0038282
8503402,47.57237045,8.516531736,436.9516312
8503403,47.58126451,8.512817253,439.9330226
8503404,47.60378715,8.543421435,470.8470433
8503409,47.58830739,8.295563976,386.1258813
8503410,47.60074475,8.277307551,380.1123986
8503411,47.60938086,8.240138236,371.1266637
8501951,46.2062989,8.245193831,579.632884
8503420,47.62573359,8.566801775,494.7695259
8503421,47.65439867,8.57326839,484.6916698
8503423,47.68313253,8.624908253,443.5697739
8503424,47.6982799,8.632721304,450.5243758
132,47.19637109,7.689367086,48.692528
135,46.35688292,7.77384257,50.71916
136,46.43375137,7.717212485,50.58138748
137,47.07452512,8.320798709,48.386576
139,47.21732322,8.805060523,47.55538
140,46.6043229,8.591156393,49.295476
142,46.27633619,8.091195805,50.609692
8504007,46.50839257,6.785642309,708.29095
174,46.68076784,8.765599203,48.93175488
175,47.40113099,7.904324277,47.97191264
176,47.372467,8.518661937,47.44886564
8503501,47.57526112,8.256343919,373.1964148
8503502,47.5206857,8.240660735,398.3481528
8503503,47.49175155,8.253441917,389.4082096
8503504,47.47641723,8.307692859,432.3940665
8503505,47.45963376,8.315986463,435.4280146
8503506,47.43332515,8.354194174,440.4567605
8503508,47.40577467,8.404968635,435.4763286
8503509,47.39917122,8.447228035,440.4517334
8503511,47.45065745,8.331233683,440.4356864
8503512,47.39887129,8.420422555,436.4785589
8503525,47.45580976,8.402097069,474.3540412
8503526,47.43655972,8.472063703,489.3341435
8503527,47.4533944,8.435577401,487.3275541
8503528,47.4549319,8.387506889,474.3704016
8503529,47.44575548,8.35764306,467.4223297
8515993,47.18312915,8.517043931,475.9233334
8515994,47.15657362,8.512275697,479.9943245
8516013,45.83764849,8.906865239,433.8907464
8502004,47.21754862,7.979019131,520.3603646
8502009,47.11604792,8.19596906,562.4043261
8014586,47.65875632,9.177301238,445.090337
8502025,47.18567986,8.280211051,517.1480923
8516154,46.9438671,7.374686317,607.6294614
8516155,46.18891516,6.125311223,436.7265598
8516161,46.96781801,7.465469415,598.4821378
8516176,47.58208651,8.24881885,368.1865992
8508001,47.01893364,7.49892905,575.3214228
8508003,47.04955501,7.545405743,565.1998003
8508004,47.06375514,7.581318189,566.1296136
8508005,47.06069355,7.621693931,582.0985185
8508006,47.10516258,7.663501613,576.946564
8508008,47.18807907,7.700952427,513.7022336
8507496,46.67375566,7.697906135,652.9972727
8516219,47.42806866,8.276339335,448.5454007
8508080,47.0396142,7.629635103,596.143868
8508081,47.05227956,7.618296035,593.1229352
8508083,47.06538266,7.608216742,574.0996834
8508084,47.08349163,7.580146038,558.0811132
8508085,47.09549648,7.559511691,546.0707261
8508086,47.1294763,7.553657442,522.9908848
8508087,47.15210503,7.555973935,511.9317554
8508088,47.1697431,7.565192653,500.8785661
8508089,47.18062552,7.566352933,494.8500881
8516283,46.2224521,6.144541858,442.6232442
8504000,46.51467641,6.657982142,524.3964762
8504003,46.50974406,6.699318157,575.3696806
8508100,47.21729777,7.784714366,520.5483244
8508101,47.25162599,7.814910285,480.4330918
8508102,47.26537544,7.832105357,462.382035
8508103,47.3064449,7.879391731,455.2334628
8504010,46.51308701,6.67831957,552.3811797
8504011,46.49694813,6.72264088,616.3798694
8504012,46.49383766,6.765679944,669.3467668
8504014,46.54275695,6.837872993,720.1543108
8504016,46.55724349,6.828335833,685.126784
8504017,46.57053268,6.815481025,653.105436
8504018,46.61042299,6.811053041,636.0088127
8504023,46.69350555,6.911814307,757.7029596
8504024,46.72058165,6.960640113,756.5880687
8504025,46.74920349,7.000433093,772.4778798
8504026,46.75121028,7.034797859,762.4400478
8504027,46.76604791,7.065032033,736.3737567
8504028,46.78262562,7.061970734,717.3348435
8504029,46.78893163,7.096331663,693.2861444
8504030,46.78982654,7.116390406,689.2647356
8504104,46.90461863,7.357027731,634.7452145
8508201,46.88227807,7.580837024,693.5863756
8500010,47.54740338,7.589563501,324.905603
8516353,47.18060383,8.280579793,526.1604328
8516354,47.06517885,8.071109042,649.6530751
8508204,46.90003614,7.698051839,755.4286707
8508174,47.18157132,7.793269737,560.629791
8508181,47.20535713,7.780215579,531.582634
8508182,47.18946574,7.788387229,550.6146708
8508183,47.16666845,7.795650566,582.664914
8508184,47.15460406,7.790533025,593.7001328
